Algoritmo,Cenario,Seed,Turnaround,TrocasContexto,JainIndex
FCFS,1,1,38414.9460,3200,91.1415
FCFS,1,2,38765.2160,3217,93.0119
FCFS,1,3,38895.0150,3231,92.9671
FCFS,1,4,38784.8770,3218,92.1440
FCFS,1,5,39206.4900,3229,92.4819
FCFS,1,6,38645.3050,3211,91.9625
FCFS,1,7,39070.2380,3222,92.7421
FCFS,1,8,38057.2440,3161,91.8333
FCFS,1,9,37942.8460,3160,92.6846
FCFS,1,10,38705.3280,3210,92.0901
FCFS,1,11,38907.9500,3188,92.1531
FCFS,1,12,39349.5970,3226,92.2963
FCFS,1,13,38909.1910,3198,92.3142
FCFS,1,14,38805.0800,3192,90.9877
FCFS,1,15,38508.8040,3223,92.5055
FCFS,1,16,38413.3130,3177,92.4055
FCFS,1,17,38791.6170,3197,92.2232
FCFS,1,18,38248.5930,3191,91.8632
FCFS,1,19,39471.7020,3219,91.2264
FCFS,1,20,38095.4120,3189,92.0171
FCFS,1,21,38264.5060,3174,91.8407
FCFS,1,22,38872.6890,3216,92.3193
FCFS,1,23,39007.9000,3219,92.5549
FCFS,1,24,37828.8690,3159,92.2208
FCFS,1,25,38875.8270,3195,92.0855
FCFS,1,26,38524.8460,3217,91.7970
FCFS,1,27,39161.4240,3231,92.0251
FCFS,1,28,38955.1290,3223,92.8882
FCFS,1,29,38868.9120,3216,92.9345
FCFS,1,30,38612.7660,3221,92.9016
FCFS,1,31,38595.2090,3224,91.7984
FCFS,1,32,38730.0040,3196,91.1029
FCFS,1,33,38455.2210,3181,92.5217
FCFS,1,34,39424.0330,3232,93.0001
FCFS,1,35,38819.1240,3217,90.7416
FCFS,1,36,38717.0170,3214,92.4032
FCFS,1,37,39461.7580,3233,92.1816
FCFS,1,38,38225.4850,3185,91.1499
FCFS,1,39,39501.1250,3222,92.5305
FCFS,1,40,38892.6800,3223,91.6170
FCFS,1,41,38847.7120,3188,92.3214
FCFS,1,42,39447.1230,3229,92.1949
FCFS,1,43,39656.3630,3248,91.5529
FCFS,1,44,38508.5610,3208,91.4889
FCFS,1,45,38229.0650,3187,91.4326
FCFS,1,46,38892.5750,3220,92.3863
FCFS,1,47,38352.0030,3188,91.8268
FCFS,1,48,38202.8160,3185,92.8470
FCFS,1,49,38946.1670,3205,92.5013
FCFS,1,50,37275.4970,3142,91.3030
FCFS,1,51,38874.5750,3209,91.7578
FCFS,1,52,38946.5220,3212,91.5857
FCFS,1,53,38194.8780,3187,92.1641
FCFS,1,54,37925.7710,3201,91.0174
FCFS,1,55,38655.0330,3207,91.9104
FCFS,1,56,38432.1680,3195,91.7437
FCFS,1,57,38472.3160,3191,92.2399
FCFS,1,58,38717.6940,3206,92.4308
FCFS,1,59,38942.7840,3209,92.2672
FCFS,1,60,39217.3070,3218,92.2461
FCFS,1,61,39091.1560,3222,92.1702
FCFS,1,62,38390.1520,3203,92.3131
FCFS,1,63,38297.1080,3182,91.9370
FCFS,1,64,38811.3640,3215,91.5082
FCFS,1,65,38564.6830,3192,91.8318
FCFS,1,66,38452.5420,3201,92.1019
FCFS,1,67,38001.7980,3186,91.6543
FCFS,1,68,38683.4640,3201,92.8302
FCFS,1,69,39017.8890,3204,92.3724
FCFS,1,70,38683.3650,3217,93.3214
FCFS,1,71,39673.5960,3247,94.0079
FCFS,1,72,38692.2930,3189,93.1252
FCFS,1,73,38380.6950,3195,93.1558
FCFS,1,74,38212.1940,3166,91.3656
FCFS,1,75,38154.5640,3207,92.1626
FCFS,1,76,38266.4550,3187,91.5718
FCFS,1,77,38765.0010,3183,92.3765
FCFS,1,78,38596.5800,3185,92.5507
FCFS,1,79,38622.4920,3194,92.5973
FCFS,1,80,38551.6890,3197,92.6272
FCFS,1,81,39548.0580,3225,92.3562
FCFS,1,82,37886.8310,3201,92.5639
FCFS,1,83,38731.7300,3192,92.4336
FCFS,1,84,38089.4660,3180,91.1775
FCFS,1,85,37790.7520,3164,91.1913
